Date,Open,High,Low,Close,Adj Close,Volume,next1_Date,next2_Date,next1_Open,next2_Open,sma_200,sma_50,sma_200_pct,Volume_sma_20,atr,rsi,aroon,symbol,date,days,start
2023-09-19,37.97,38.42,37.32,38.06,38.06,2445100.0,2023-09-20,2023-09-21,38.16,36.7,20.21,33.22,0.6730132450331126,5742245.0,4.0987913820283755,61.0,40.0,vrt,2023-09-19,8.0,2023-09-07
2023-09-19,11.1,11.1,10.51,10.71,10.71,1320500.0,2023-09-20,2023-09-21,10.8,11.04,7.89,9.57,0.7572383073496658,2166375.0,3.26797385620915,65.0,65.0,hlx,2023-09-19,14.0,2023-08-29
2023-09-19,21.29,21.35,20.36,20.41,20.41,12294800.0,2023-09-20,2023-09-21,20.53,20.5,14.93,18.78,0.7923169267707082,7258465.0,2.9397354238118565,60.0,65.0,fti,2023-09-19,17.0,2023-08-24
2023-09-19,98.32,98.97,94.43,94.68,94.68,1292700.0,2023-09-20,2023-09-21,94.13,92.42,64.98,84.98,1.0833600512984933,1700660.0,2.8517110266159698,67.0,85.0,wfrd,2023-09-19,5.0,2023-09-12
2023-09-19,25.57,25.81,24.94,25.65,25.65,4896700.0,2023-09-20,2023-09-21,25.85,24.79,17.35,22.23,1.5036075036075038,2390340.0,5.6530214424951275,57.0,85.0,mnso,2023-09-19,6.0,2023-09-11
2023-09-19,98.62,99.75,97.5,98.35,98.35,4459500.0,2023-09-20,2023-09-21,97.19,91.94,81.69,86.29,0.5337964701464515,12470950.0,4.280630401626843,62.0,40.0,pdd,2023-09-19,0.0,2023-09-19
2023-09-19,38.89,39.38,38.03,38.45,38.45,1143900.0,2023-09-20,2023-09-21,38.46,36.39,34.98,35.65,0.7214566929133857,834010.0,4.837451235370611,59.0,65.0,sgml,2023-09-19,0.0,2023-09-19
2023-09-19,68.52,68.89,65.39,65.53,65.53,1191600.0,2023-09-20,2023-09-21,66.0,66.63,48.09,62.99,1.089052997393571,875830.0,4.013428963833358,54.0,65.0,tdw,2023-09-19,0.0,2023-09-19
2023-09-20,97.19,97.64,94.3,94.48,94.48,7978900.0,2023-09-21,2023-09-22,91.94,95.72,81.74,86.76,0.531572044219599,12553195.0,4.508890770533445,56.0,25.0,pdd,2023-09-20,1.0,2023-09-19
2023-09-20,26.33,26.35,25.16,25.28,25.28,1026800.0,2023-09-21,2023-09-22,24.72,25.06,17.09,22.73,0.6738491674828597,1751685.0,3.1645569620253164,60.0,80.0,rely,2023-09-20,10.0,2023-09-06
2023-09-20,38.16,38.76,37.1,37.12,37.12,3696100.0,2023-09-21,2023-09-22,36.7,36.73,20.33,33.46,0.6885382059800664,5713230.0,4.25646551724138,57.0,35.0,vrt,2023-09-20,9.0,2023-09-07
2023-09-20,38.46,38.7,36.55,36.73,36.73,1131000.0,2023-09-21,2023-09-22,36.39,35.83,34.99,35.57,0.7126774351443956,865405.0,5.063980397495236,54.0,65.0,sgml,2023-09-20,1.0,2023-09-19
2023-09-20,10.8,11.17,10.8,10.97,10.97,1796200.0,2023-09-21,2023-09-22,11.04,11.1,7.92,9.63,0.76,2212335.0,3.372835004557885,68.0,65.0,hlx,2023-09-20,15.0,2023-08-29
2023-09-20,20.53,21.09,20.33,20.39,20.39,8085300.0,2023-09-21,2023-09-22,20.5,20.66,14.97,18.82,0.7928143712574851,7525385.0,3.0407062285434034,60.0,65.0,fti,2023-09-20,18.0,2023-08-24
2023-09-20,94.13,95.37,92.45,92.52,92.52,1323700.0,2023-09-21,2023-09-22,92.42,90.62,65.22,85.34,1.0883765609990395,1753500.0,2.9939472546476438,61.0,85.0,wfrd,2023-09-20,6.0,2023-09-12
2023-09-20,25.85,25.99,25.41,25.49,25.49,2027300.0,2023-09-21,2023-09-22,24.79,26.48,17.42,22.39,1.5137085137085142,2343695.0,5.374656728128679,56.0,70.0,mnso,2023-09-20,7.0,2023-09-11
2023-09-20,12.73,12.95,12.66,12.7,12.7,2379900.0,2023-09-21,2023-09-22,12.4,12.63,11.67,12.1,0.49615384615384617,2428810.0,2.677165354330709,59.0,25.0,agi,2023-09-20,0.0,2023-09-20
2023-09-20,51.11,51.81,48.52,48.6,48.6,1161200.0,2023-09-21,2023-09-22,48.23,48.46,45.6,46.68,1.339661364802463,998820.0,3.9917695473251023,51.0,70.0,akro,2023-09-20,0.0,2023-09-20
2023-09-21,91.94,93.66,91.21,92.17,92.17,8476600.0,2023-09-22,2023-09-25,95.72,92.89,81.77,87.1,0.5284112149532709,12427565.0,4.67614191168493,53.0,25.0,pdd,2023-09-21,2.0,2023-09-19
2023-09-21,36.7,36.84,35.8,36.32,36.32,3685200.0,2023-09-22,2023-09-25,36.73,36.44,20.43,33.67,0.7024999999999999,5660825.0,4.350220264317181,54.0,30.0,vrt,2023-09-21,10.0,2023-09-07
2023-09-21,36.39,36.39,34.05,35.7,35.7,1301800.0,2023-09-22,2023-09-25,35.83,34.44,35.0,35.47,0.7031630170316301,900250.0,5.406162464985994,51.0,65.0,sgml,2023-09-21,2.0,2023-09-19
2023-09-21,11.04,11.21,10.86,11.03,11.03,2428300.0,2023-09-22,2023-09-25,11.1,11.22,7.94,9.69,0.7605321507760534,2283785.0,3.3544877606527654,68.0,60.0,hlx,2023-09-21,16.0,2023-08-29
