start,symbol,Start_Datum,Start_Open,Ende_Datum,Ende_Open,Close,Volume,days,profit,sum
2023-10-06,edu,2023-10-09,59.24,2023-10-16,61.42,60.59,1262300.0,4.0,3.679945982444294,-21.165010801056994
2023-10-06,vrt,2023-10-09,39.29,2023-10-20,37.19,39.77,7097800.0,8.0,-5.344871468567069,-26.509882269624065
2023-10-09,pdd,2023-10-10,107.42,2023-10-19,103.5,106.96,8856100.0,6.0,-3.6492273319679773,-30.159109601592043
2023-10-09,meta,2023-10-10,319.12,2023-10-23,309.5,318.36,22503700.0,8.0,-3.014539984958638,-33.17364958655068
2023-10-09,vips,2023-10-10,16.43,2023-10-13,15.57,16.32,2928000.0,2.0,-5.234327449786972,-38.407977036337655
2023-10-12,sym,2023-10-13,41.94,2023-10-16,39.27,40.68,1125600.0,0.0,-6.366237482117299,-44.774214518454954
2023-10-13,mnso,2023-10-16,25.6,2023-10-17,25.82,25.8,1648600.0,0.0,0.8593749999999956,-43.91483951845496
2023-10-13,nvda,2023-10-16,450.63,2023-10-18,425.91,454.61,47411500.0,1.0,-5.48565341854736,-49.40049293700232
2023-10-16,mltx,2023-10-17,59.77,2023-10-18,57.3,60.53,1868600.0,0.0,-4.132507947130677,-53.533000884132996
2023-10-17,sym,2023-10-18,45.32,2023-10-20,42.35,46.29,1881900.0,1.0,-6.553398058252425,-60.08639894238542
2023-10-17,mnso,2023-10-18,25.27,2023-10-20,24.87,25.6,2271200.0,1.0,-1.5829046299960372,-61.66930357238146
2023-10-18,ypf,2023-10-19,13.28,2023-10-20,12.56,13.5,1872000.0,0.0,-5.421686746987944,-67.0909903193694
2023-10-19,wfrd,2023-10-20,93.49,2023-10-23,92.82,94.0,1045000.0,0.0,-0.7166541876136504,-67.80764450698305
2023-10-19,rely,2023-10-20,26.93,2023-10-23,26.03,26.98,1211700.0,0.0,-3.34199777200148,-71.14964227898453
2023-10-19,edu,2023-10-20,59.03,2023-10-23,59.16,60.88,1208300.0,0.0,0.22022700321869462,-70.92941527576583
2023-10-19,agi,2023-10-20,12.8,2023-10-23,12.7,12.7,2024800.0,0.0,-0.7812500000000111,-71.71066527576585
2023-10-19,nflx,2023-10-20,405.63,2023-10-23,403.32,401.77,28074400.0,0.0,-0.5694845055839071,-72.28014978134975
2023-10-24,mnso,2023-10-25,27.47,2023-10-26,26.52,28.11,2554300.0,0.0,-3.4583181652712027,-75.73846794662096
2023-10-24,jbl,2023-10-25,124.02,2023-10-26,121.5,124.47,1863200.0,0.0,-2.0319303338171233,-77.77039828043809
2023-10-24,wfrd,2023-10-25,93.85,2023-10-26,92.84,92.51,1039200.0,0.0,-1.0761854022376036,-78.84658368267569
